team_name,name,context_org_name,context_env_name
Everyone at SabOrg,Exchange Viewer,SabOrg,
Platform Admins,API Group Administrator,max_bg,
Platform Admins,Monitoring Administrator,max_bg,
Platform Admins,Exchange Administrator,max_bg,
Platform Admins,Organization Administrator,SabOrg,
Platform Admins,Audit Log Viewer,max_bg,
Platform Admins,Cloudhub Network Administrator,max_bg,
Platform Admins,Visualizer Editor,SabOrg,
Max BG,Portals Viewer,max_bg,
Max BG,Exchange Viewer,max_bg,
Maxy BG,Portals Viewer,maxy_bg,
Maxy BG,Exchange Viewer,maxy_bg,
